hhtyp,incgrp,unit,age,sex,geo\time	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 
TOTAL,TOTAL,PC_POP,TOTAL,F,SK	3.4 	3.4 	3.2 	0.4 b	1.0 	1.1 	1.3 	1.1 	0.7 	1.2 	1.4 	1.3 
TOTAL,TOTAL,PC_POP,TOTAL,F,TR	: 	14.2 	13.5 	13.4 	12.4 	: 	8.9 	9.2 	8.9 	7.7 	6.7 	: 
TOTAL,TOTAL,PC_POP,TOTAL,F,UK	1.0 	0.7 	0.7 	0.5 	0.5 	0.4 	0.1 	0.3 b	0.2 	0.4 	0.5 	0.3 
TOTAL,TOTAL,PC_POP,TOTAL,M,AT	1.8 	0.9 	1.6 	1.8 b	1.2 	1.2 	1.2 	1.2 	1.1 	1.1 	1.1 	0.8 
TOTAL,TOTAL,PC_POP,TOTAL,M,BE	1.4 	1.1 	0.9 	0.9 	0.8 	0.4 	1.3 	2.1 	2.1 	2.4 	2.4 	1.6 
TOTAL,TOTAL,PC_POP,TOTAL,M,BG	35.9 	35.9 	34.1 	29.8 	26.9 	24.8 	25.2 	22.7 	21.4 	20.8 	18.7 	18.5 b
TOTAL,TOTAL,PC_POP,TOTAL,M,CH	: 	: 	1.9 	0.0 	0.0 n	0.1 	0.0 n	0.0 n	0.0 n	0.2 b	0.1 	: 
TOTAL,TOTAL,PC_POP,TOTAL,M,CY	1.4 	1.6 	1.3 	0.8 b	0.6 	1.2 	1.1 	0.9 	1.0 	0.9 	0.7 	: 
TOTAL,TOTAL,PC_POP,TOTAL,M,CZ	2.1 	1.4 	1.3 	1.1 	0.8 	0.7 	0.7 	1.0 	0.9 	0.7 	0.6 	0.5 
TOTAL,TOTAL,PC_POP,TOTAL,M,DE	1.1 	1.6 	1.2 	1.2 	1.1 	1.6 	0.8 	0.9 	0.1 	0.0 n	0.1 	: 
TOTAL,TOTAL,PC_POP,TOTAL,M,DK	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.7 	0.3 	0.5 	0.4 	0.5 	0.5 
TOTAL,TOTAL,PC_POP,TOTAL,M,EA18	1.3 e	1.3 e	1.1 	1.0 	0.9 	0.9 	0.8 	0.8 e	0.7 	0.6 	0.6 	: 
TOTAL,TOTAL,PC_POP,TOTAL,M,EA19	1.5 e	1.5 e	1.3 	1.1 	1.0 	1.0 	1.0 	0.9 e	0.8 	0.7 	0.7 	: 
TOTAL,TOTAL,PC_POP,TOTAL,M,EE	17.6 	16.9 	15.9 	13.8 	12.7 	11.5 	9.9 	8.8 	8.2 	7.7 b	7.4 	: 
TOTAL,TOTAL,PC_POP,TOTAL,M,EL	3.7 	3.4 	3.5 	2.5 	1.8 	1.4 	0.9 	0.5 	0.7 	0.5 	0.4 	0.4 
TOTAL,TOTAL,PC_POP,TOTAL,M,ES	0.5 	0.3 	0.4 	0.1 	0.0 n	0.0 	0.0 n	0.1 	0.1 	0.1 	0.1 	0.3 
TOTAL,TOTAL,PC_POP,TOTAL,M,EU27	: 	: 	4.1 	3.7 	3.5 	3.3 	3.1 	2.9 e	2.7 	2.6 	2.4 	: 
TOTAL,TOTAL,PC_POP,TOTAL,M,EU28	: 	: 	: 	: 	: 	3.3 	3.1 	2.9 e	2.7 	2.6 	2.4 	: 
TOTAL,TOTAL,PC_POP,TOTAL,M,FI	1.0 	1.1 	1.0 	1.1 	0.9 	0.8 	0.8 	0.8 	0.7 	0.7 	0.6 	0.6 
TOTAL,TOTAL,PC_POP,TOTAL,M,FR	1.1 	0.9 	0.9 	0.9 	0.8 	0.7 	0.6 	0.6 	0.5 	0.5 	0.5 	: 
TOTAL,TOTAL,PC_POP,TOTAL,M,HR	: 	: 	: 	: 	: 	0.5 	1.8 	2.6 b	1.9 	2.2 	2.1 	2.1 p
TOTAL,TOTAL,PC_POP,TOTAL,M,HU	8.5 	5.8 	6.5 	6.9 	7.4 	6.8 	5.2 	5.6 	5.9 	6.0 	4.4 	4.7 
TOTAL,TOTAL,PC_POP,TOTAL,M,IE	0.7 	0.3 	0.6 	0.4 	0.5 	0.4 	4.6 	2.4 	2.1 	0.2 	0.1 	: 
TOTAL,TOTAL,PC_POP,TOTAL,M,IS	0.6 	0.7 	0.4 	0.2 	0.5 	0.5 	0.0 	0.0 	0.0 	0.0 	0.0 	: 
TOTAL,TOTAL,PC_POP,TOTAL,M,IT	0.3 	0.2 	0.2 	0.2 	0.3 	0.2 	0.5 	0.6 	1.2 	0.8 	0.7 	: 
TOTAL,TOTAL,PC_POP,TOTAL,M,LT	25.6 	24.4 	20.2 	20.4 	18.3 	15.9 	17.1 	16.3 	13.6 	12.9 	13.5 	15.2 
TOTAL,TOTAL,PC_POP,TOTAL,M,LU	0.4 	0.8 	0.9 	0.9 	0.9 	0.7 	0.1 	0.7 	0.1 	0.1 	0.0 n	: 
TOTAL,TOTAL,PC_POP,TOTAL,M,LV	23.3 	19.8 	21.3 	17.5 	18.0 	18.2 	17.8 	16.6 	15.9 	15.7 	14.4 	13.7 
TOTAL,TOTAL,PC_POP,TOTAL,M,MK	: 	: 	: 	: 	: 	13.6 	12.1 	13.1 	10.7 	9.4 	5.6 	: 
TOTAL,TOTAL,PC_POP,TOTAL,M,MT	0.1 	0.1 	0.0 n	0.0 n	0.0 n	0.1 	0.1 	0.1 	0.1 	0.1 	0.0 n	: 
TOTAL,TOTAL,PC_POP,TOTAL,M,NL	: 	: 	0.0 	0.0 n	0.0 n	0.0 n	0.0 n	0.1 	0.0 	0.0 n	0.0 n	0.0 n
TOTAL,TOTAL,PC_POP,TOTAL,M,NO	0.3 	0.2 	0.3 	0.2 	0.1 	0.1 	0.2 	0.0 	0.0 	0.0 	0.0 	0.0 
TOTAL,TOTAL,PC_POP,TOTAL,M,PL	8.0 	7.5 	6.4 	5.5 	4.9 	4.1 	4.2 	3.8 	3.2 	3.2 	2.9 	2.6 
TOTAL,TOTAL,PC_POP,TOTAL,M,PT	3.2 	3.4 	3.1 	2.5 	2.3 	1.6 	1.1 	1.0 	0.9 	0.9 	1.1 	: 
TOTAL,TOTAL,PC_POP,TOTAL,M,RO	: 	: 	45.2 	41.9 	42.6 	41.5 	39.4 	37.3 	36.6 	34.9 	33.1 	33.1 
TOTAL,TOTAL,PC_POP,TOTAL,M,RS	: 	: 	: 	: 	: 	: 	: 	: 	5.0 	4.3 	4.2 	4.4 
TOTAL,TOTAL,PC_POP,TOTAL,M,SE	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
TOTAL,TOTAL,PC_POP,TOTAL,M,SI	1.8 	1.2 	1.2 	0.9 	0.6 	0.5 	0.5 	0.5 	0.5 	0.7 	0.4 	0.4 
