date,temp
19300131,4.592
19300228,1.693
19300331,4.679
19300430,8.537
19300531,11.665
19300630,17.455
19300731,15.819
19300831,16.206
19300930,13.902
19301031,10.428
19301130,7.282
19301231,2.306
19310131,2.427
19310228,1.331
19310331,2.223
19310430,6.932
19310531,13.512
19310630,14.927
19310731,16.195
19310831,15.405
19310930,11.42
19311031,9.056
19311130,6.67
19311231,3.35
19320131,3.9
19320228,1.654
19320331,2.967
19320430,6.928
19320531,12.159
19320630,14.603
19320731,17.104
19320831,18.565
19320930,14.656
19321031,9.413
19321130,5.479
19321231,3.578
19330131,-0.062
19330228,2.869
19330331,6.653
19330430,8.113
19330531,12.058
19330630,15.168
19330731,17.764
19330831,17.018
19330930,14.688
19331031,10.09
19331130,3.938
19331231,-2.062
19340131,2.098
19340228,3.464
19340331,4.665
19340430,9.989
19340531,12.025
19340630,15.547
19340731,17.285
19340831,15.869
19340930,15.864
19341031,11.447
19341130,5.414
19341231,7.269
19350131,2.751
19350228,4.438
19350331,4.786
19350430,7.518
19350531,10.956
19350630,16.166
19350731,17.303
19350831,16.784
19350930,14.009
19351031,9.858
19351130,7.103
19351231,2.671
19360131,4.554
19360228,2.284
19360331,6.346
19360430,5.83
19360531,12.9
19360630,16.142
19360731,16.06
19360831,16.483
19360930,13.952
19361031,8.864
19361130,5.205
19361231,3.335
19370131,2.462
19370228,4.903
19370331,3.21
19370430,8.446
19370531,14.125
19370630,15.344
19370731,16.279
19370831,16.991
19370930,13.237
19371031,11.018
19371130,4.551
19371231,1.656
19380131,3.861
19380228,3.47
19380331,7.554
19380430,6.515
19380531,11.05
19380630,15.029
19380731,15.752
19380831,17.494
19380930,14.823
19381031,9.61
19381130,8.656
19381231,0.449
19390131,4.134
19390228,3.573
19390331,4.314
19390430,8.867
19390531,11.913
19390630,15.945
19390731,16.58
19390831,17.196
19390930,14.945
19391031,7.712
19391130,7.308
19391231,1.048
19400131,-5.667
19400228,-1.169
19400331,5.006
19400430,8.642
19400531,13.128
19400630,16.24
19400731,15.398
19400831,14.801
19400930,12.787
19401031,8.988
19401130,6.707
19401231,0.824
19410131,-2.665
19410228,1.653
19410331,4.554
19410430,6.408
19410531,9.572
19410630,16.486
19410731,18.832
19410831,14.639
19410930,14.266
19411031,9.842
19411130,4.136
19411231,4.794
19420131,-5.276
19420228,-4.134
19420331,2.511
19420430,8.937
19420531,12.074
19420630,14.035
19420731,15.628
19420831,17.496
19420930,14.572
19421031,11.999
19421130,5.638
19421231,4.325
19430131,2.539
19430228,4.533
19430331,6.193
19430430,10.136
19430531,13.36
19430630,14.064
19430731,16.772
19430831,16.401
19430930,13.281
19431031,10.553
19431130,4.701
19431231,1.385
19440131,5.025
19440228,1.917
19440331,3.431
19440430,9.141
19440531,11.482
19440630,13.696
19440731,16.465
19440831,18.903
19440930,13.006
19441031,9.639
19441130,6.346
19441231,2.568
19450131,-1.724
19450228,6.095
19450331,7.127
19450430,9.887
19450531,13.539
19450630,15.612
19450731,17.399
19450831,16.028
19450930,14.368
19451031,11.631
19451130,4.888
19451231,3.312
19460131,0.046
19460228,4.676
19460331,4.003
19460430,9.919
19460531,12.808
19460630,13.557
19460731,17.046
19460831,15.34
19460930,14.334
19461031,9.443
19461130,6.487
19461231,-0.26
19470131,-1.607
19470228,-5.361
19470331,3.079
19470430,8.648
19470531,14.998
19470630,17.126
19470731,18.423
19470831,19.38
19470930,16.653
19471031,9.461
19471130,7.12
19471231,4.232
19480131,4.96
19480228,3.102
19480331,6.527
19480430,9.67
19480531,12.664
19480630,14.915
19480731,16.192
19480831,16.044
19480930,14.285
19481031,9.873
19481130,4.885
19481231,3.541
19490131,3.543
19490228,3.865
19490331,3.861
19490430,10.046
19490531,11.266
19490630,14.064
19490731,17.056
19490831,16.707
19490930,17.014
19491031,11.575
19491130,5.221
19491231,4.492
19500131,0.883
19500228,5.557
19500331,6.308
19500430,7.341
19500531,12.736
19500630,16.933
19500731,16.913
19500831,16.726
19500930,13.303
19501031,9.203
19501130,5.698
19501231,-1.287
19510131,3.817
19510228,3.884
19510331,3.85
19510430,7.04
19510531,12.271
19510630,15.205
19510731,16.655
19510831,16.167
19510930,15.29
19511031,8.648
19511130,8.443
19511231,4.357
19520131,2.396
19520228,2.315
19520331,4.83
19520430,10.204
19520531,13.161
19520630,14.841
19520731,17.029
19520831,16.676
19520930,11.446
19521031,8.094
19521130,2.875
19521231,1.393
19530131,1.194
19530228,2.282
19530331,4.786
19530430,8.364
19530531,12.819
19530630,15.588
19530731,16.75
19530831,16.271
19530930,13.672
19531031,11.208
19531130,7.068
19531231,5.326
19540131,0.089
19540228,-0.413
19540331,5.795
19540430,6.601
19540531,12.856
19540630,15.033
19540731,14.23
19540831,15.624
19540930,13.401
19541031,11.803
19541130,6.63
19541231,5.393
19550131,0.065
19550228,0.071
19550331,1.863
19550430,8.314
19550531,9.928
19550630,14.318
19550731,17.51
19550831,17.891
19550930,14.258
19551031,9.104
19551130,6.449
19551231,4.586
19560131,2.092
19560228,-6.803
19560331,5.371
19560430,5.607
19560531,12.145
19560630,12.868
19560731,16.397
19560831,13.995
19560930,14.681
19561031,9.634
19561130,4.965
19561231,5.312
19570131,3.591
19570228,5.065
19570331,8.317
19570430,8.412
19570531,10.255
19570630,16.317
19570731,17.54
19570831,15.561
19570930,12.878
19571031,10.695
19571130,6.332
19571231,2.877
19580131,2.028
19580228,3.679
19580331,2.204
19580430,6.309
19580531,12.205
19580630,14.738
19580731,16.597
19580831,17.199
19580930,15.739
19581031,10.94
19581130,4.953
19581231,4.633
19590131,1.58
19590228,0.609
19590331,6.952
19590430,9.762
19590531,13.384
19590630,16.039
19590731,18.413
19590831,17.75
19590930,15.487
19591031,11.118
19591130,4.94
19591231,4.281
19600131,2.711
19600228,3.054
19600331,5.575
19600430,8.933
19600531,12.976
19600630,16.275
19600731,15.356
19600831,15.733
19600930,13.604
19601031,10.637
19601130,7.444
19601231,3.029
19610131,1.908
19610228,6.193
19610331,7.032
19610430,10.403
19610531,10.99
19610630,15.434
19610731,15.505
19610831,15.93
19610930,16.56
19611031,11.306
19611130,4.595
19611231,1.558
19620131,3.389
19620228,2.728
19620331,1.907
19620430,7.962
19620531,9.934
19620630,13.681
19620731,14.627
19620831,15.213
19620930,12.956
19621031,10.731
19621130,4.133
19621231,-0.745
19630131,-5.26
19630228,-3.283
19630331,4.53
19630430,8.962
19630531,10.903
19630630,15.605
19630731,16.182
19630831,15.149
19630930,13.787
19631031,9.583
19631130,8.209
19631231,-1.211
19640131,0.554
19640228,3.396
19640331,2.612
19640430,8.671
19640531,14.231
19640630,15.307
19640731,16.762
19640831,15.94
19640930,14.015
19641031,7.854
19641130,6.269
19641231,2.302
19650131,2.666
19650228,2.053
19650331,4.272
19650430,7.63
19650531,11.803
19650630,14.657
19650731,14.827
19650831,15.223
19650930,12.736
19651031,9.882
19651130,2.609
19651231,4.379
19660131,0.283
19660228,4.244
19660331,5.15
19660430,8.315
19660531,12.825
19660630,16.61
19660731,15.351
19660831,15.681
19660930,13.703
19661031,10.946
19661130,4.249
19661231,4.346
19670131,3.022
19670228,5.087
19670331,6.692
19670430,7.329
19670531,12.603
19670630,14.34
19670731,18.15
19670831,16.422
19670930,14.077
19671031,11.688
19671130,4.994
19671231,3.316
19680131,1.972
19680228,1.429
19680331,6.091
19680430,9.219
19680531,10.931
19680630,15.338
19680731,16.246
19680831,17.089
19680930,14.381
19681031,11.616
19681130,4.837
19681231,-0.271
19690131,4.286
19690228,-0.167
19690331,2.19
19690430,7.812
19690531,12.811
19690630,15.126
19690731,18.086
19690831,17.634
19690930,14.693
19691031,12.672
19691130,6.342
19691231,-1.785
19700131,0.509
19700228,1.03
19700331,2.911
19700430,6.044
19700531,13.033
19700630,17.525
19700731,15.655
19700831,16.896
19700930,14.296
19701031,10.613
19701130,7.434
19701231,2.418
19710131,2.206
19710228,3.73
19710331,2.671
19710430,7.986
19710531,13.684
19710630,13.845
19710731,17.166
19710831,17.066
19710930,13.198
19711031,10.38
19711130,5.648
19711231,5.353
19720131,0.447
19720228,3.528
19720331,6.15
19720430,7.644
19720531,11.721
19720630,13.353
19720731,17.155
19720831,15.394
19720930,11.786
19721031,8.917
19721130,5.883
19721231,3.191
19730131,2.768
19730228,2.806
19730331,5.23
19730430,5.997
19730531,11.898
19730630,15.936
19730731,16.97
19730831,17.602
19730930,14.802
19731031,8.665
19731130,5.022
19731231,2.651
19740131,5.106
19740228,4.53
19740331,5.526
19740430,9.052
19740531,11.587
19740630,14.715
19740731,15.311
19740831,16.33
19740930,12.611
19741031,6.883
19741130,6.424
19741231,7.166
19750131,6.111
19750228,3.004
19750331,4.602
19750430,7.374
19750531,11.025
19750630,15.003
19750731,17.726
19750831,19.807
19750930,15.13
19751031,8.404
19751130,5.16
19751231,3.446
19760131,4.068
19760228,2.807
19760331,2.923
19760430,7.377
19760531,13.22
19760630,17.919
19760731,19.26
19760831,17.909
19760930,13.685
19761031,11.077
19761130,6.789
19761231,1.612
19770131,2.877
19770228,4.848
19770331,6.996
19770430,6.596
19770531,11.858
19770630,14.518
19770731,16.904
19770831,16.037
19770930,13.331
19771031,11.444
19771130,6.758
19771231,4.908
19780131,2.895
19780228,0.968
19780331,6.512
19780430,6.818
19780531,12.076
19780630,14.954
19780731,15.31
19780831,15.274
19780930,13.667
19781031,10.801
19781130,6.227
19781231,1.665
19790131,-3.319
19790228,-1.001
19790331,4.604
19790430,7.7
19790531,11.391
19790630,14.862
19790731,15.834
19790831,15.48
19790930,13.819
19791031,10.79
19791130,5.525
19791231,5.316
19800131,0.074
19800228,4.74
19800331,4.619
19800430,7.886
19800531,12.219
19800630,14.928
19800731,15.714
19800831,16.904
19800930,15.194
19801031,9.341
19801130,4.841
19801231,3.466
19810131,2.647
19810228,1.447
19810331,8.057
19810430,8.231
19810531,13.195
19810630,14.29
19810731,16.235
19810831,16.632
19810930,14.607
19811031,8.433
19811130,6.64
19811231,-0.796
19820131,0.987
19820228,2.66
19820331,5.12
19820430,7.533
19820531,12.781
19820630,16.559
19820731,18.828
19820831,17.134
19820930,15.519
19821031,11.006
19821130,8.059
19821231,3.299
19830131,6.073
19830228,0.799
19830331,5.654
19830430,8.436
19830531,10.548
19830630,16.298
19830731,20.027
19830831,18.056
19830930,14.131
19831031,10.296
19831130,6.051
19831231,3.672
19840131,3.34
19840228,1.88
19840331,3.879
19840430,7.768
19840531,10.489
19840630,13.694
19840731,15.803
19840831,18.042
19840930,13.44
19841031,11.604
19841130,8.08
19841231,4.229
19850131,-3.145
19850228,-0.697
19850331,4.062
19850430,8.46
19850531,13.12
19850630,13.669
19850731,17.318
19850831,15.825
19850930,14.315
19851031,10.193
19851130,2.552
19851231,5.641
19860131,2.296
19860228,-3.708
19860331,4.109
19860430,6.082
19860531,13.225
19860630,16.348
19860731,17.12
19860831,15.511
19860930,11.478
19861031,11.347
19861130,7.814
19861231,5.011
19870131,-2.825
19870228,2.008
19870331,2.215
19870430,10.645
19870531,10.105
19870630,13.69
