# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/klimatologie/onderzoeksgegevens/homogeen_260/index.html> of de Centraal Nederland Temperatuur <http://www.knmi.nl/klimatologie/onderzoeksgegevens/CNT/>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 240:         4.790       52.318      -3.30  SCHIPHOL
# 260:         5.180       52.100       1.90  DE BILT
# 285:         6.399       53.575       0.00  HUIBERTGAT
# 380:         5.762       50.906     114.30  MAASTRICHT
# 
# YYYYMMDD = datum (YYYY=jaar,MM=maand,DD=dag); 
# HH       = tijd (HH=uur, UT.12 UT=13 MET, 14 MEZT. Uurvak 05 loopt van 04.00 UT tot 5.00 UT; 
# DD       = Windrichting (in graden) gemiddeld over de laatste 10 minuten van het afgelopen uur (360=noord, 90=oost, 180=zuid, 270=west, 0=windstil 990=veranderlijk. Zie http://www.knmi.nl/kennis-en-datacentrum/achtergrond/klimatologische-brochures-en-boeken; 
# FH       = Uurgemiddelde windsnelheid (in 0.1 m/s). Zie http://www.knmi.nl/kennis-en-datacentrum/achtergrond/klimatologische-brochures-en-boeken; 
# FF       = Windsnelheid (in 0.1 m/s) gemiddeld over de laatste 10 minuten van het afgelopen uur; 
# FX       = Hoogste windstoot (in 0.1 m/s) over het afgelopen uurvak; 
# T        = Temperatuur (in 0.1 graden Celsius) op 1.50 m hoogte tijdens de waarneming; 
# T10N     = Minimumtemperatuur (in 0.1 graden Celsius) op 10 cm hoogte in de afgelopen 6 uur; 
# TD       = Dauwpuntstemperatuur (in 0.1 graden Celsius) op 1.50 m hoogte tijdens de waarneming; 
# SQ       = Duur van de zonneschijn (in 0.1 uren) per uurvak, berekend uit globale straling  (-1 for <0.05 uur); 
# Q        = Globale straling (in J/cm2) per uurvak; 
# DR       = Duur van de neerslag (in 0.1 uur) per uurvak; 
# RH       = Uursom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm); 
# P        = Luchtdruk (in 0.1 hPa) herleid naar zeeniveau, tijdens de waarneming; 
# VV       = Horizontaal zicht tijdens de waarneming (0=minder dan 100m, 1=100-200m, 2=200-300m,..., 49=4900-5000m, 50=5-6km, 56=6-7km, 57=7-8km, ..., 79=29-30km, 80=30-35km, 81=35-40km,..., 89=meer dan 70km); 
# N        = Bewolking (bedekkingsgraad van de bovenlucht in achtsten), tijdens de waarneming (9=bovenlucht onzichtbaar); 
# U        = Relatieve vochtigheid (in procenten) op 1.50 m hoogte tijdens de waarneming; 
# WW       = Weercode (00-99), visueel(WW) of automatisch(WaWa) waargenomen, voor het actuele weer of het weer in het afgelopen uur. Zie http://bibliotheek.knmi.nl/scholierenpdf/weercodes_Nederland; 
# IX       = Weercode indicator voor de wijze van waarnemen op een bemand of automatisch station (1=bemand gebruikmakend van code uit visuele waarnemingen, 2,3=bemand en weggelaten (geen belangrijk weersverschijnsel, geen gegevens), 4=automatisch en opgenomen (gebruikmakend van code uit visuele waarnemingen), 5,6=automatisch en weggelaten (geen belangrijk weersverschijnsel, geen gegevens), 7=automatisch gebruikmakend van code uit automatische waarnemingen); 
# M        = Mist 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming; 
# R        = Regen 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming; 
# S        = Sneeuw 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming; 
# O        = Onweer 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming; 
# Y        = IJsvorming 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming; 
# 
# STN,YYYYMMDD,   HH,   DD,   FH,   FF,   FX,    T,  T10,   TD,   SQ,    Q,   DR,   RH,    P,   VV,    N,    U,   WW,   IX,    M,    R,    S,    O,    Y
# 
  260,20171007,    4,  220,   40,   50,   80,  108,     ,   76,    0,    0,    0,    0,10200,   81,    8,   81,     ,    5,    0,    0,    0,    0,    0
  260,20171007,    5,  220,   50,   50,   90,  109,     ,   72,    0,    0,    0,    0,10194,   80,    8,   78,     ,    5,    0,    0,    0,    0,    0
  260,20171007,    6,  220,   40,   50,   80,  110,  100,   76,    0,    0,    0,   -1,10185,   80,    8,   80,   23,    7,    0,    1,    0,    0,    0
  260,20171007,    7,  220,   50,   50,  100,  113,     ,   79,    0,    6,    0,    0,10175,   80,    8,   80,     ,    5,    0,    0,    0,    0,    0
  260,20171007,    8,  220,   60,   60,  100,  116,     ,   83,    0,   22,    0,    0,10169,   79,    8,   80,     ,    5,    0,    0,    0,    0,    0
  260,20171007,    9,  230,   60,   60,  100,  117,     ,   89,    0,   17,    0,    0,10162,   65,    8,   83,     ,    5,    0,    0,    0,    0,    0
  260,20171007,   10,  230,   60,   70,  120,  120,     ,  100,    0,   33,    0,    0,10153,   59,    8,   88,   10,    7,    0,    0,    0,    0,    0
  260,20171007,   11,  230,   70,   70,  130,  122,     ,  111,    0,   31,    0,   -1,10146,   50,    8,   93,   23,    7,    0,    1,    0,    0,    0
  260,20171007,   12,  230,   70,   70,  110,  123,  104,  117,    0,   29,    6,    5,10136,   29,    8,   96,   58,    7,    0,    1,    0,    0,    0
  260,20171007,   13,  230,   60,   60,  100,  126,     ,  122,    0,   24,   10,   18,10126,   31,    8,   97,   53,    7,    0,    1,    0,    0,    0
  260,20171007,   14,  240,   50,   40,   70,  132,     ,  130,    0,   14,    9,   25,10121,   56,    8,   99,   52,    7,    0,    1,    0,    0,    0
  260,20171007,   15,  250,   40,   40,   70,  141,     ,  132,    0,   16,    0,   -1,10114,   69,    8,   94,   23,    7,    0,    1,    0,    0,    0
  260,20171007,   16,  260,   40,   40,   70,  141,     ,  131,    0,    8,    4,    6,10109,   61,    8,   94,   81,    7,    0,    1,    0,    0,    0
  260,20171007,   17,  250,   40,   40,   80,  141,     ,  126,    0,    4,    0,   -1,10103,   80,    8,   91,   23,    7,    0,    1,    0,    0,    0
  260,20171007,   18,  270,   40,   40,   80,  129,  124,  122,    0,    0,    8,   42,10107,   62,    8,   96,   81,    7,    0,    1,    0,    0,    0
  260,20171007,   19,  300,   30,   20,   60,  130,     ,  124,    0,    0,   10,   32,10108,   64,    8,   96,   62,    7,    0,    1,    0,    0,    0
  260,20171007,   20,  280,   30,   30,   50,  129,     ,  123,    0,    0,    9,   14,10111,   66,    8,   96,   58,    7,    0,    1,    0,    0,    0
  260,20171007,   21,  280,   30,   20,   70,  128,     ,  122,    0,    0,    5,   10,10112,   71,    8,   96,   23,    7,    0,    1,    0,    0,    0
  260,20171007,   22,  280,   20,   20,   40,  125,     ,  120,    0,    0,    4,    6,10116,   80,    7,   97,   23,    7,    0,    1,    0,    0,    0
  260,20171007,   23,  270,   20,   20,   30,  123,     ,  118,    0,    0,    0,    0,10118,   69,    5,   97,    1,    7,    0,    0,    0,    0,    0
  260,20171007,   24,  270,   20,   20,   40,  122,  115,  114,    0,    0,    0,    0,10121,   75,    7,   95,    3,    7,    0,    0,    0,    0,    0
  285,20171007,    1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,    6,     ,     ,     ,     ,     
  285,20171007,    2,  260,     ,  110,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,    6,     ,     ,     ,     ,     
  285,20171007,    3,  260,  110,  110,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,    6,     ,     ,     ,     ,     
  285,20171007,    4,  220,  100,   90,  140,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,    6,     ,     ,     ,     ,     
  285,20171007,    5,  220,     ,   90,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,    6,     ,     ,     ,     ,     
  285,20171007,    6,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,    6,     ,     ,     ,     ,     
  285,20171007,    7,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,    6,     ,     ,     ,     ,     
  285,20171007,    8,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,    6,     ,     ,     ,     ,     
  285,20171007,    9,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,    6,     ,     ,     ,     ,     
