"Bevolking; kerncijfers"
"Onderwerpen_1";"Onderwerpen_2";"Onderwerpen_3";"Perioden";"1950";"1951";"1952";"1953";"1954";"1955";"1956";"1957";"1958";"1959";"1960";"1961";"1962";"1963";"1964";"1965";"1966";"1967";"1968";"1969";"1970";"1971";"1972";"1973";"1974";"1975";"1976";"1977";"1978";"1979";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016"
"Bevolking naar leeftijd (op 1 januari)";"Bevolking naar leeftijd, aantallen";"Totale bevolking";"aantal";"10026773";"10200280";"10328343";"10435631";"10550737";"10680023";"10821661";"10957040";"11095726";"11278024";"11417254";"11556008";"11721416";"11889962";"12041970";"12212269";"12377194";"12535307";"12661095";"12798346";"12957621";"13119430";"13269563";"13387623";"13491020";"13599092";"13733578";"13814495";"13897874";"13985526";"14091014";"14208586";"14285829";"14339551";"14394589";"14453833";"14529430";"14615125";"14714948";"14805240";"14892574";"15010445";"15129150";"15239182";"15341553";"15424122";"15493889";"15567107";"15654192";"15760225";"15863950";"15987075";"16105285";"16192572";"16258032";"16305526";"16334210";"16357992";"16405399";"16485787";"16574989";"16655799";"16730348";"16779575";"16829289";"16900726";"16979120"
"Bevolking naar leeftijd (op 1 januari)";"Bevolking naar leeftijd, aantallen";"Jonger dan 20 jaar";"aantal";"3742499";"3805617";"3853988";"3894738";"3945330";"4000883";"4063634";"4124465";"4188105";"4270455";"4331042";"4386744";"4461142";"4532162";"4583772";"4631281";"4685535";"4659556";"4640156";"4637626";"4657606";"4678829";"4694750";"4691201";"4670957";"4646232";"4624109";"4579205";"4528294";"4479535";"4431785";"4395798";"4330786";"4252760";"4167550";"4084506";"4018630";"3968023";"3922311";"3874701";"3822205";"3786164";"3762239";"3746470";"3751154";"3760155";"3771609";"3787364";"3809170";"3839842";"3873008";"3908053";"3940636";"3968999";"3987557";"3987957";"3975626";"3957103";"3940450";"3933585";"3928334";"3913819";"3894754";"3870773";"3846040";"3828059";"3818499"
"Bevolking naar leeftijd (op 1 januari)";"Bevolking naar leeftijd, aantallen";"20 tot 40 jaar";"aantal";"2951369";"2985744";"2999353";"2996594";"2994204";"2997145";"3013487";"3027385";"3041247";"3076070";"3098779";"3100271";"3114828";"3141795";"3174758";"3227357";"3274528";"3397478";"3485200";"3566931";"3650362";"3730445";"3809177";"3876435";"3948968";"4026470";"4121445";"4197667";"4276841";"4353469";"4441579";"4525169";"4607340";"4676776";"4739037";"4795956";"4863855";"4854891";"4862329";"4879741";"4912128";"4960023";"4998563";"5014662";"5011430";"4981153";"4938040";"4893195";"4848625";"4809644";"4761504";"4727104";"4685727";"4624170";"4548566";"4467783";"4389840";"4319136";"4267063";"4233861";"4192772";"4162599";"4141893";"4120358";"4117652";"4134447";"4163702"
"Bevolking naar leeftijd (op 1 januari)";"Bevolking naar leeftijd, aantallen";"40 tot 65 jaar";"aantal";"2562311";"2614428";"2656483";"2700881";"2744425";"2792024";"2832042";"2869124";"2906002";"2940435";"2968611";"3020409";"3065393";"3108573";"3150735";"3191097";"3227483";"3259448";"3283600";"3312816";"3338678";"3370407";"3397711";"3424718";"3444804";"3466969";"3497868";"3523309";"3543413";"3571626";"3602326";"3645612";"3679442";"3721901";"3779544";"3843625";"3877757";"3988197";"4090241";"4173791";"4252617";"4330616";"4408652";"4492523";"4570975";"4649238";"4723368";"4802709";"4886678";"4979805";"5076996";"5177417";"5280208";"5378947";"5470755";"5561116";"5638285";"5713401";"5783060";"5846526";"5915555";"5984435";"5977333";"5964099";"5946573";"5930535";"5911611"
"Bevolking naar leeftijd (op 1 januari)";"Bevolking naar leeftijd, aantallen";"65 tot 80 jaar";"aantal";"670995";"690449";"710729";"729809";"747436";"765017";"782200";"800553";"818343";"843228";"864423";"887637";"912524";"934630";"955313";"976752";"996411";"1018765";"1043617";"1065626";"1089232";"1111504";"1132778";"1154901";"1177000";"1201043";"1221862";"1236344";"1259198";"1280786";"1303447";"1318916";"1332480";"1343109";"1350817";"1359038";"1386796";"1411662";"1434264";"1458653";"1477909";"1496394";"1515408";"1529136";"1543699";"1557819";"1579397";"1596420";"1616527";"1634782";"1652103";"1657864";"1667107";"1676486";"1692856";"1715097";"1743443";"1767510";"1799337";"1840607";"1890334";"1927399";"2030353";"2121525";"2201935";"2272709";"2336560"
"Bevolking naar leeftijd (op 1 januari)";"Bevolking naar leeftijd, aantallen";"80 jaar of ouder";"aantal";"99599";"104042";"107790";"113609";"119342";"124954";"130298";"135513";"142029";"147836";"154399";"160947";"167529";"172802";"177392";"185782";"193237";"200060";"208522";"215347";"221743";"228245";"235147";"240368";"249291";"258378";"268294";"277970";"290128";"300110";"311877";"323091";"335781";"345005";"357641";"370708";"382392";"392352";"405803";"418354";"427715";"437248";"444288";"456391";"464295";"475757";"481475";"487419";"493192";"496152";"500339";"516637";"531607";"543970";"558298";"573573";"587016";"600842";"615489";"631208";"647994";"667547";"686015";"702820";"717089";"734976";"748748"
"� Centraal Bureau voor de Statistiek, Den Haag/Heerlen 1-10-2017"
